Year_Fraction,Smoothed_GIA
2003.0031910,-5.20
2003.0303570,-5.09
2003.0575230,-4.65
2003.0846890,-4.27
2003.1118550,-4.29
2003.1390210,-4.71
2003.1661880,-5.22
2003.1933540,-5.59
2003.2205200,-5.80
2003.2476860,-6.02
2003.2748520,-6.39
2003.3020180,-6.89
2003.3291850,-7.40
2003.3563510,-7.82
2003.3835170,-8.12
2003.4106830,-8.24
2003.4378490,-8.14
2003.4650150,-7.78
2003.4921810,-7.17
2003.5193480,-6.37
2003.5465140,-5.48
2003.5736800,-4.53
2003.6008460,-3.46
2003.6280120,-2.19
2003.6551780,-0.80
2003.6823450,0.48
2003.7095110,1.23
2003.7366770,2.08
2003.7638430,2.37
2003.7910090,2.36
2003.8181750,2.07
2003.8453410,1.54
2003.8725080,0.86
2003.8996740,0.12
2003.9268400,-0.57
2003.9540060,-1.04
2003.9811720,-1.48
2004.0083160,-1.62
2004.0354070,-1.73
2004.0624990,-2.21
2004.0895910,-2.70
2004.1166830,-3.50
2004.1437750,-4.12
2004.1708670,-4.39
2004.1979590,-4.43
2004.2250510,-4.46
2004.2521430,-4.67
2004.2792350,-5.18
2004.3063270,-6.21
2004.3334190,-7.18
2004.3605110,-8.23
2004.3876030,-8.80
2004.4146940,-8.64
2004.4417860,-7.77
2004.4688780,-6.40
2004.4959700,-4.93
2004.5230620,-3.64
2004.5501540,-2.57
2004.5772460,-1.54
2004.6043380,-0.34
2004.6314300,1.05
2004.6585220,2.46
2004.6856140,3.63
2004.7127060,4.40
2004.7397980,4.71
2004.7668900,4.66
2004.7939810,4.36
2004.8210730,3.91
2004.8481650,3.40
2004.8752570,2.90
2004.9023490,2.47
2004.9294410,2.09
2004.9565330,1.66
2004.9836250,1.11
2005.0107460,0.54
2005.0379120,0.20
2005.0650790,0.22
2005.0922450,0.56
2005.1194110,0.98
2005.1465770,1.28
2005.1737430,1.32
2005.2009090,1.05
2005.2280750,0.57
2005.2552420,0.05
2005.2824080,-0.35
2005.3095740,-0.58
2005.3367400,-0.62
2005.3639060,-0.51
2005.3910720,-0.32
2005.4182390,-0.11
2005.4454050,0.11
2005.4725710,0.38
2005.4997370,0.78
2005.5269030,1.51
2005.5540690,2.06
2005.5812350,2.76
2005.6084020,3.53
2005.6355680,4.31
2005.6627340,5.11
2005.6899000,5.95
2005.7170660,6.80
2005.7442320,7.50
2005.7713990,7.90
2005.7985650,8.12
2005.8257310,8.30
2005.8528970,8.37
2005.8800630,7.71
2005.9072290,7.40
2005.9343950,6.73
2005.9615620,5.63
2005.9887280,4.43
2006.0158940,3.27
2006.0430600,2.27
2006.0702260,1.54
2006.0973920,1.11
2006.1245590,0.85
2006.1517250,0.60
2006.1788910,0.22
2006.2060570,-0.27
2006.2332230,-0.79
2006.2603890,-1.19
2006.2875550,-1.38
2006.3147220,-1.27
2006.3418880,-0.85
2006.3690540,-0.19
2006.3962200,0.55
2006.4233860,1.29
2006.4505520,2.04
2006.4777180,2.86
2006.5048850,3.71
2006.5320510,4.49
2006.5592170,5.15
2006.5863830,5.82
2006.6135490,6.73
2006.6407150,8.05
2006.6678820,9.34
2006.6950480,10.51
2006.7222140,11.25
2006.7493800,11.58
2006.7765460,11.64
2006.8037120,11.48
2006.8308780,10.93
2006.8852110,8.90
2006.9123770,8.03
2006.9395430,7.26
2006.9667090,6.45
2006.9938750,5.54
2007.0210420,4.82
2007.0482080,4.03
2007.0753740,3.69
2007.1025400,3.70
2007.1297060,3.88
2007.1568720,4.00
2007.1840380,3.93
2007.2112050,3.75
2007.2383710,3.60
2007.2655370,3.45
2007.2927030,3.17
2007.3198690,2.70
2007.3470350,2.15
2007.3742020,1.76
2007.4013680,1.63
2007.4285340,1.72
2007.4557000,1.94
2007.4828660,2.23
2007.5100320,2.57
2007.5371980,3.03
2007.5643650,3.70
2007.5915310,4.57
2007.6186970,5.49
2007.6458630,6.33
2007.6730290,7.06
2007.7001950,7.77
2007.7273610,8.46
2007.7545280,9.05
2007.7816940,9.46
2007.8088600,9.73
2007.8360260,9.90
2007.8631920,9.90
2007.8903580,9.54
2007.9175250,8.70
2007.9446910,7.45
2007.9718570,6.15
2007.9990230,5.14
2008.0261180,4.52
2008.0532100,4.12
2008.0803010,3.70
2008.1073930,3.21
2008.1344850,2.77
2008.1615770,2.56
2008.1886690,2.34
2008.2157610,2.19
2008.2428530,1.96
2008.2699450,1.72
2008.2970370,1.67
2008.3241290,2.10
2008.3512210,3.14
2008.3783130,4.46
2008.4054050,5.58
2008.4324970,6.35
2008.4595880,6.88
2008.4866800,7.33
2008.5137720,7.81
2008.5408640,8.23
2008.5679560,8.78
2008.5950480,9.44
2008.6221400,10.16
2008.6492320,10.86
2008.6763240,11.53
2008.7034160,12.17
2008.7305080,12.76
2008.7576000,13.22
2008.7846920,13.42
2008.8117840,13.34
2008.8388750,13.07
2008.8659670,12.68
2008.8930590,12.14
2008.9201510,11.37
2008.9472430,10.41
2008.9743350,9.45
2009.0014310,8.69
2009.0285970,8.20
2009.0557630,7.90
2009.0829290,7.72
2009.1100960,7.70
2009.1372620,7.87
2009.1644280,8.18
2009.1915940,8.43
2009.2187600,8.48
2009.2459260,8.28
2009.2730920,7.92
2009.3002590,7.52
2009.3274250,7.15
2009.3545910,6.88
2009.3817570,6.76
